2025-11-14 13:53:43,628 [main] DEBUG es.ciudadescolar.Util.Bbddoo             - Se ha inicializado la bdd
2025-11-14 13:53:43,635 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} guardado.
2025-11-14 13:53:43,635 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=2, nombre=Andres, edad=13}} guardado.
2025-11-14 13:53:43,636 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=3, nombre=Manu, edad=11}} guardado.
2025-11-14 14:09:22,603 [main] WARN  es.ciudadescolar.Util.Bbddoo             - Se procede a eliminar la base de datos
2025-11-14 14:09:22,835 [main] DEBUG es.ciudadescolar.Util.Bbddoo             - Se ha inicializado la bdd
2025-11-14 14:09:22,839 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} guardado.
2025-11-14 14:09:22,841 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=2, nombre=Andres, edad=13}} guardado.
2025-11-14 14:09:22,842 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=3, nombre=Manu, edad=11}} guardado.
2025-11-14 14:09:56,201 [main] WARN  es.ciudadescolar.Util.Bbddoo             - Se procede a eliminar la base de datos
2025-11-14 14:09:56,497 [main] DEBUG es.ciudadescolar.Util.Bbddoo             - Se ha inicializado la bdd
2025-11-14 14:09:56,502 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} guardado.
2025-11-14 14:09:56,503 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=2, nombre=Andres, edad=13}} guardado.
2025-11-14 14:09:56,504 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=3, nombre=Manu, edad=11}} guardado.
2025-11-14 14:09:56,510 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-14 14:09:56,510 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-14 14:09:56,511 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-14 14:09:56,515 [main] INFO  es.ciudadescolar.Main                    - Expediente 1: Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:05:29,635 [main] WARN  es.ciudadescolar.Util.Bbddoo             - Se procede a eliminar la base de datos
2025-11-19 09:05:29,856 [main] DEBUG es.ciudadescolar.Util.Bbddoo             - Se ha inicializado la bdd
2025-11-19 09:05:29,871 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} guardado.
2025-11-19 09:05:29,871 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=2, nombre=Andres, edad=13}} guardado.
2025-11-19 09:05:29,872 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=3, nombre=Manu, edad=11}} guardado.
2025-11-19 09:05:29,876 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:05:29,876 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:05:29,876 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:05:29,880 [main] INFO  es.ciudadescolar.Main                    - Expediente 1: Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:05:29,884 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} eliminado.
2025-11-19 09:05:29,885 [main] INFO  es.ciudadescolar.Main                    - Después de borrar el alumno con expediente 1
2025-11-19 09:06:20,968 [main] WARN  es.ciudadescolar.Util.Bbddoo             - Se procede a eliminar la base de datos
2025-11-19 09:06:21,137 [main] DEBUG es.ciudadescolar.Util.Bbddoo             - Se ha inicializado la bdd
2025-11-19 09:06:21,141 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} guardado.
2025-11-19 09:06:21,141 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=2, nombre=Andres, edad=13}} guardado.
2025-11-19 09:06:21,142 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=3, nombre=Manu, edad=11}} guardado.
2025-11-19 09:06:21,145 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:06:21,146 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:06:21,146 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:06:21,146 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:06:21,147 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:06:21,147 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:06:21,150 [main] INFO  es.ciudadescolar.Main                    - Expediente 1: Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:06:21,154 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} eliminado.
2025-11-19 09:06:21,154 [main] INFO  es.ciudadescolar.Main                    - Despues de borrar el alumno con expediente 1
2025-11-19 09:06:21,155 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:06:21,155 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:19:47,163 [main] WARN  es.ciudadescolar.Util.Bbddoo             - Se procede a eliminar la base de datos
2025-11-19 09:19:47,343 [main] DEBUG es.ciudadescolar.Util.Bbddoo             - Se ha inicializado la bdd
2025-11-19 09:19:47,347 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} guardado.
2025-11-19 09:19:47,348 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=2, nombre=Andres, edad=13}} guardado.
2025-11-19 09:19:47,348 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=3, nombre=Manu, edad=11}} guardado.
2025-11-19 09:19:47,352 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:19:47,353 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:19:47,353 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:19:47,353 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:19:47,353 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:19:47,354 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:19:47,356 [main] INFO  es.ciudadescolar.Main                    - Expediente 1: Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:19:47,360 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} eliminado.
2025-11-19 09:19:47,361 [main] INFO  es.ciudadescolar.Main                    - Despues de borrar el alumno con expediente 1
2025-11-19 09:19:47,361 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:19:47,362 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:19:47,362 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=2, nombre=Andres, edad=13}
